"No."	"PosX"	"PosY"	"PosZ"	"FrontX"	"FrontY"	"FrontZ"	"LeftX"	"LeftY"	"LeftZ"	"UpX"	"UpY"	"UpZ"
897	111.513966	17.096365	39.438048	-0.162820	0.946751	0.277764	0.983507	0.133263	0.122289	0.078762	0.293094	-0.952834
898	111.426836	17.570193	39.571740	-0.183063	0.948357	0.259051	0.973923	0.139021	0.179299	0.134025	0.285119	-0.949076
899	111.330579	18.044762	39.696206	-0.200931	0.949892	0.239442	0.959870	0.142095	0.241782	0.195644	0.278415	-0.940324
900	111.226402	18.520087	39.811048	-0.215903	0.951552	0.218938	0.940372	0.142279	0.308960	0.262842	0.272589	-0.925532
901	111.115621	18.996301	39.915598	-0.227324	0.953535	0.197721	0.914465	0.139223	0.379961	0.334779	0.267184	-0.903624
902	110.999839	19.473740	40.008509	-0.234006	0.956084	0.176477	0.881160	0.131857	0.454060	0.410849	0.261757	-0.873319
903	110.882180	19.952573	40.091320	-0.235412	0.959342	0.155708	0.840019	0.120261	0.529061	0.488825	0.255345	-0.834176
904	110.765158	20.433147	40.164388	-0.231193	0.963357	0.135991	0.790573	0.104552	0.603376	0.567048	0.247007	-0.785776
905	110.651587	20.915877	40.228110	-0.221001	0.968095	0.118111	0.732534	0.084821	0.675425	0.643858	0.235790	-0.727908
906	110.545390	21.401378	40.282830	-0.204255	0.973467	0.103163	0.665823	0.060900	0.743620	0.717607	0.220577	-0.660596
907	110.448718	21.889516	40.331304	-0.181695	0.979044	0.091977	0.590906	0.033940	0.806026	0.786013	0.200800	-0.584690
908	110.364186	22.380301	40.375496	-0.153655	0.984411	0.085588	0.508379	0.004483	0.861122	0.847314	0.175827	-0.501142
909	110.294693	22.873606	40.417805	-0.120607	0.989053	0.085018	0.419078	-0.026909	0.907551	0.899904	0.145086	-0.411245
910	110.244588	23.369101	40.461726	-0.082839	0.992347	0.091566	0.324133	-0.060056	0.944103	0.942378	0.107888	-0.316678
911	110.213416	23.865646	40.510680	-0.041892	0.993524	0.105616	0.224899	-0.093619	0.969874	0.973481	0.064383	-0.219520
912	110.202458	24.362114	40.568255	0.001213	0.991804	0.127761	0.122820	-0.126942	0.984277	0.992428	0.014498	-0.121968
913	110.213108	24.856955	40.638522	0.045229	0.986585	0.156859	0.019355	-0.157856	0.987273	0.998789	-0.041618	-0.026235
914	110.247831	25.347904	40.726108	0.089160	0.977579	0.190762	-0.083743	-0.183489	0.979448	0.992491	-0.103303	0.065506
915	110.303257	25.833478	40.831040	0.131687	0.964562	0.228644	-0.185254	-0.202643	0.961570	0.973827	-0.168983	0.152004
916	110.378628	26.311827	40.955005	0.172072	0.947324	0.270126	-0.283771	-0.214924	0.934496	0.943327	-0.237454	0.231841
917	110.473405	26.780694	41.100153	0.209746	0.925756	0.314613	-0.377843	-0.220031	0.899345	0.901799	-0.307509	0.303640
918	110.587955	27.236571	41.270262	0.244449	0.899778	0.361447	-0.466142	-0.217815	0.857478	0.850268	-0.378095	0.366180
919	110.718173	27.678854	41.463297	0.275554	0.869572	0.409773	-0.547919	-0.208175	0.810215	0.789845	-0.447780	0.419091
920	110.862438	28.105680	41.679740	0.302826	0.835314	0.458855	-0.622410	-0.191270	0.758961	0.721735	-0.515429	0.461986
921	111.019348	28.514720	41.920440	0.326223	0.797300	0.507830	-0.688905	-0.167341	0.705271	0.647293	-0.579923	0.494673
922	111.188066	28.902052	42.187613	0.346171	0.755894	0.555689	-0.746720	-0.136581	0.650965	0.567957	-0.640289	0.517160
923	111.365319	29.268727	42.477371	0.362386	0.711658	0.601847	-0.795988	-0.099605	0.597061	0.484851	-0.695429	0.530375
924	111.549491	29.613603	42.788791	0.375067	0.665054	0.645777	-0.836621	-0.057174	0.544790	0.399236	-0.744604	0.534954
925	111.739283	29.935101	43.121203	0.384241	0.616937	0.686839	-0.868856	-0.009907	0.494966	0.312167	-0.786950	0.532223
926	111.933036	30.229920	43.475361	0.389869	0.567487	0.725232	-0.892886	0.040282	0.448477	0.225291	-0.822397	0.522406
927	112.128629	30.500764	43.847166	0.392355	0.517267	0.760587	-0.909199	0.092840	0.405878	0.139335	-0.850773	0.506725
928	112.324700	30.747424	44.235214	0.391983	0.466765	0.792767	-0.918313	0.146782	0.367637	0.055236	-0.872115	0.486173
929	112.520130	30.969133	44.638392	0.389555	0.416341	0.821527	-0.920630	0.201411	0.334475	-0.026209	-0.886619	0.461757
930	112.713914	31.163431	45.056251	0.386011	0.366275	0.846663	-0.916597	0.255897	0.307191	-0.104142	-0.894628	0.434506
931	112.905580	31.333792	45.485348	0.381136	0.316620	0.868612	-0.907089	0.309645	0.285149	-0.178677	-0.896589	0.405219
932	113.094659	31.480448	45.924252	0.375165	0.267496	0.887523	-0.892758	0.361943	0.268291	-0.249466	-0.892997	0.374597
933	113.280657	31.602948	46.371824	0.368444	0.218928	0.903504	-0.874185	0.412264	0.256592	-0.316307	-0.884369	0.343280
